"cliente";"cpf_cnpj";"uf";"municipio";"municipio_codigo";"data_da_contratacao";"valor_da_operacao_em_reais";"valor_desembolsado_em_reais";"fonte_de_recurso_desembolsos";"modalidade_de_apoio";"forma_de_apoio";"produto";"instrumento_financeiro";"inovacao";"area_operacional";"setor_cnae";"subsetor_cnae_agrupado";"subsetor_cnae_codigo";"subsetor_cnae_nome";"setor_bndes";"subsetor_bndes";"porte_do_cliente";"natureza_do_cliente";"instituicao_financeira_credenciada";"cnpj_do_agente_financeiro";"situacao_da_operacao"
"GSI BRASIL INDUSTRIA E COMERCIO DE EQUIPAMENTOS AGROPEC";"**.*70.039/0001-**";" RS";"MARAU";4311809;"30/09/2009";"5.378.400";"5.378.400";"RECURSOS LIVRES - TESOURO";"REEMBOLSÁVEL";"INDIRETA";"BNDES EXIM PRÉ-EMBARQUE";"PSI - Exportação de Bens de Capital";"NÃO";"AREA DE COMÉRCIO EXTERIOR";"INDUSTRIA DE TRANSFORMAÇÃO";"Máquinas e equipamentos";"C2833000";"FAB MAQ EQ P/AGRIC E PECUARIA PECA ACESS EXCETO PARA IRRIGACAO";"INDUSTRIA";"MECÂNICA";"GRANDE";"PRIVADA";"ITAU UNIBANCO S.A.";"60.701.190.0001-04";"LIQUIDADA"
"WHB FUNDICAO S/A";"**.*61.681/0001-**";" PR";"CURITIBA";4106902;"30/09/2009";"10.000.000";"10.000.000";"RECURSOS LIVRES - TESOURO";"REEMBOLSÁVEL";"INDIRETA";"BNDES EXIM PRÉ-EMBARQUE";"PSI - Exportação de Bens de Capital";"NÃO";"AREA DE COMÉRCIO EXTERIOR";"INDUSTRIA DE TRANSFORMAÇÃO";"Metalurgia";"C2451200";"FUNDICAO DE FERRO E ACO";"INDUSTRIA";"METALURGIA E PRODUTOS";"GRANDE";"PRIVADA";"ITAU UNIBANCO S.A.";"60.701.190.0001-04";"LIQUIDADA"
"ZOLLERN TRANSMISSOES MECANICAS LTDA";"**.*22.877/0001-**";" MG";"CATAGUASES";3115300;"30/09/2009";"1.059.000";"1.059.000";"RECURSOS LIVRES - TESOURO";"REEMBOLSÁVEL";"INDIRETA";"BNDES EXIM PRÉ-EMBARQUE";"PSI - Exportação de Bens de Capital";"NÃO";"AREA DE COMÉRCIO EXTERIOR";"INDUSTRIA DE TRANSFORMAÇÃO";"Máquinas e equipamentos";"C2815100";"FABRICACAO DE EQUIPAMENTOS DE TRANSMISSAO PARA FINS INDUSTRIAIS";"INDUSTRIA";"MECÂNICA";"GRANDE";"PRIVADA";"BANCO VOTORANTIM S.A.";"59.588.111.0001-03";"LIQUIDADA"
"AMSTED-MAXION FUNDICAO E EQUIPAMENTOS FERROVIARIOS S/A";"**.*99.436/0001-**";" SP";"CRUZEIRO";3513405;"01/10/2009";"8.001.450";"8.001.450";"RECURSOS LIVRES - TESOURO";"REEMBOLSÁVEL";"INDIRETA";"BNDES EXIM PRÉ-EMBARQUE";"PSI - Exportação de Bens de Capital";"NÃO";"AREA DE COMÉRCIO EXTERIOR";"INDUSTRIA DE TRANSFORMAÇÃO";"Metalurgia";"C2451200";"FUNDICAO DE FERRO E ACO";"INDUSTRIA";"METALURGIA E PRODUTOS";"GRANDE";"PRIVADA";"BANCO ABC BRASIL S.A.";"28.195.667.0001-06";"LIQUIDADA"
"WHB FUNDICAO S/A";"**.*61.681/0001-**";" PR";"CURITIBA";4106902;"01/10/2009";"20.000.000";"20.000.000";"RECURSOS LIVRES - TESOURO";"REEMBOLSÁVEL";"INDIRETA";"BNDES EXIM PRÉ-EMBARQUE";"PSI - Exportação de Bens de Capital";"NÃO";"AREA DE COMÉRCIO EXTERIOR";"INDUSTRIA DE TRANSFORMAÇÃO";"Metalurgia";"C2451200";"FUNDICAO DE FERRO E ACO";"INDUSTRIA";"METALURGIA E PRODUTOS";"GRANDE";"PRIVADA";"BANCO INDUSTRIAL DO BRASIL S/A";"31.895.683.0001-16";"LIQUIDADA"
"INDUSTRIA DE IMPLEMENTOS AGRICOLAS VENCE TUDO IMPORTACA";"**.*44.196/0001-**";" RS";"IBIRUBA";4310009;"05/10/2009";"1.000.000";"1.000.000";"RECURSOS LIVRES - TESOURO";"REEMBOLSÁVEL";"INDIRETA";"BNDES EXIM PRÉ-EMBARQUE";"PSI - Exportação de Bens de Capital";"NÃO";"AREA DE COMÉRCIO EXTERIOR";"INDUSTRIA DE TRANSFORMAÇÃO";"Máquinas e equipamentos";"C2833000";"FAB MAQ EQ P/AGRIC E PECUARIA PECA ACESS EXCETO PARA IRRIGACAO";"INDUSTRIA";"MECÂNICA";"GRANDE";"PRIVADA";"BANCO VOTORANTIM S.A.";"59.588.111.0001-03";"LIQUIDADA"
"SULMAQ INDUSTRIAL E COMERCIAL SA";"**.*61.324/0001-**";" RS";"GUAPORE";4309407;"06/10/2009";"2.650.950";"2.650.950";"RECURSOS LIVRES - TESOURO";"REEMBOLSÁVEL";"INDIRETA";"BNDES EXIM PRÉ-EMBARQUE";"PSI - Exportação de Bens de Capital";"NÃO";"AREA DE COMÉRCIO EXTERIOR";"INDUSTRIA DE TRANSFORMAÇÃO";"Máquinas e equipamentos";"C2862300";"FAB MAQ EQ INDUSTRIA ALIMENTOS BEBIDAS E FUMO PECAS E ACESSORIOS";"INDUSTRIA";"MECÂNICA";"GRANDE";"PRIVADA";"BANCO VOTORANTIM S.A.";"59.588.111.0001-03";"LIQUIDADA"
"PARAMOUNT TEXTEIS INDUSTRIA E COMERCIO SA";"**.*65.222/0001-**";" SP";"SAO PAULO";3550308;"07/10/2009";"12.000.000";"12.000.000";"RECURSOS LIVRES - TESOURO";"REEMBOLSÁVEL";"INDIRETA";"BNDES EXIM PRÉ-EMBARQUE";"BNDES EXIM PRÉ-EMBARQUE";"NÃO";"AREA DE COMÉRCIO EXTERIOR";"INDUSTRIA DE TRANSFORMAÇÃO";"Têxtil";"C1313800";"FIACAO DE FIBRAS ARTIFICIAIS E SINTETICAS";"INDUSTRIA";"TÊXTIL E VESTUÁRIO";"GRANDE";"PRIVADA";"BANCO DO BRASIL SA";"00.000.000.0001-91";"LIQUIDADA"
"VOLKSWAGEN DO BRASIL INDUSTRIA DE VEICULOS AUTOMOTORES";"**.*04.422/0001-**";" SP";"SAO BERNARDO DO CAMPO";3548708;"07/10/2009";"35.066.000";"35.066.000";"RECURSOS LIVRES - TESOURO";"REEMBOLSÁVEL";"INDIRETA";"BNDES EXIM PRÉ-EMBARQUE";"PSI - Exportação de Bens de Capital";"NÃO";"AREA DE COMÉRCIO EXTERIOR";"INDUSTRIA DE TRANSFORMAÇÃO";"Veículo, reboque e carroceria";"C2910700";"FABRICACAO DE AUTOMOVEIS, CAMIONETAS E UTILITARIOS";"INDUSTRIA";"MATERIAL DE TRANSPORTE";"GRANDE";"PRIVADA";"ITAU UNIBANCO S.A.";"60.701.190.0001-04";"LIQUIDADA"
"FGF - FUNDICAO GLOBAL FOUNDRY DE ACO INOXIDAVEL LTDA.";"**.*39.637/0001-**";" SP";"ITAQUAQUECETUBA";3523107;"07/10/2009";"1.753.300";"1.753.300";"RECURSOS LIVRES - FAT";"REEMBOLSÁVEL";"INDIRETA";"BNDES EXIM PRÉ-EMBARQUE";"PSI - Exportação de Bens de Capital";"NÃO";"AREA DE COMÉRCIO EXTERIOR";"INDUSTRIA DE TRANSFORMAÇÃO";"Metalurgia";"C2451200";"FUNDICAO DE FERRO E ACO";"INDUSTRIA";"METALURGIA E PRODUTOS";"MÉDIA";"PRIVADA";"BANCO DO BRASIL SA";"00.000.000.0001-91";"LIQUIDADA"
"DANA INDUSTRIAS LTDA";"**.*53.137/0001-**";" RS";"GRAVATAI";4309209;"07/10/2009";"12.273.100";"12.273.100";"RECURSOS LIVRES - TESOURO";"REEMBOLSÁVEL";"INDIRETA";"BNDES EXIM PRÉ-EMBARQUE";"PSI - Exportação de Bens de Capital";"NÃO";"AREA DE COMÉRCIO EXTERIOR";"INDUSTRIA DE TRANSFORMAÇÃO";"Máquinas e equipamentos";"C2869100";"FAB MAQ EQUIP USO INDAL ESPEC NAO ESPECI ANTERIOR PECA ACESS";"INDUSTRIA";"MECÂNICA";"GRANDE";"PRIVADA";"BANCO DO BRASIL SA";"00.000.000.0001-91";"LIQUIDADA"
"INDUSTRIA DE CALCADOS WEST COAST LTDA";"**.*38.712/0001-**";" RS";"IVOTI";4310801;"07/10/2009";"1.200.000";"1.200.000";"RECURSOS LIVRES - TESOURO";"REEMBOLSÁVEL";"INDIRETA";"BNDES EXIM PRÉ-EMBARQUE";"BNDES EXIM PRÉ-EMBARQUE";"NÃO";"AREA DE COMÉRCIO EXTERIOR";"INDUSTRIA DE TRANSFORMAÇÃO";"Máquinas e equipamentos";"C2864000";"FAB MAQ EQ IND VESTUARIO COURO E CALCADOS, PECAS E ACESSORIOS";"INDUSTRIA";"MECÂNICA";"GRANDE";"PRIVADA";"BANCO ABC BRASIL S.A.";"28.195.667.0001-06";"LIQUIDADA"
"JUMIL-JUSTINO DE MORAIS, IRMAOS S/A";"**.*44.668/0001-**";" SP";"BATATAIS";3505906;"07/10/2009";"9.292.490";"9.292.490";"RECURSOS LIVRES - TESOURO";"REEMBOLSÁVEL";"INDIRETA";"BNDES EXIM PRÉ-EMBARQUE";"PSI - Exportação de Bens de Capital";"NÃO";"AREA DE COMÉRCIO EXTERIOR";"INDUSTRIA DE TRANSFORMAÇÃO";"Máquinas e equipamentos";"C2830000";"FABRICACAO DE TRATORES E DE MAQUINAS E EQUIP PARA AGRICULTURA E P";"INDUSTRIA";"MECÂNICA";"GRANDE";"PRIVADA";"BANCO DO BRASIL SA";"00.000.000.0001-91";"LIQUIDADA"
